trial index,file index,monitor file,std file,creator,monitor time step,std time step
0,0,VENUS_data/trial_00_run_00/monitor_file,,harvey,1645212011,
0,1,VENUS_data/trial_00_run_01/monitor_file,,harvey,1645265696,
0,2,VENUS_data/trial_00_run_02/monitor_file,,harvey,1645283336,
0,3,VENUS_data/trial_00_run_03/monitor_file,,harvey,1645335499,
0,4,VENUS_data/trial_00_run_04/monitor_file,,harvey,1645344225,
0,5,VENUS_data/trial_00_run_05/monitor_file,,harvey,1645360860,
0,6,VENUS_data/trial_00_run_06/monitor_file,,harvey,1645375721,
0,7,VENUS_data/trial_00_run_07/monitor_file,,harvey,1645401197,
0,8,VENUS_data/trial_00_run_08/monitor_file,,harvey,1645411103,
0,9,VENUS_data/trial_00_run_09/monitor_file,VENUS_data/trial_00_run_09/std_file,harvey,1645427814,
0,10,VENUS_data/trial_00_run_10/monitor_file,VENUS_data/trial_00_run_10/std_file,wenhan,1645436371,
0,11,VENUS_data/trial_00_run_11/monitor_file,VENUS_data/trial_00_run_11/std_file,harvey,1645441443,
0,12,VENUS_data/trial_00_run_12/monitor_file,VENUS_data/trial_00_run_12/std_file,wenhan,1645450109,
0,13,VENUS_data/trial_00_run_13/monitor_file,VENUS_data/trial_00_run_13/std_file,harvey,1645455965,
0,14,VENUS_data/trial_00_run_14/monitor_file,VENUS_data/trial_00_run_14/std_file,wenhan,1645463312,
0,15,VENUS_data/trial_00_run_15/monitor_file,VENUS_data/trial_00_run_15/std_file,harvey,1645472507,
0,16,VENUS_data/trial_00_run_16/monitor_file,VENUS_data/trial_00_run_16/std_file,wenhan,1645479407,
0,17,VENUS_data/trial_00_run_17/monitor_file,VENUS_data/trial_00_run_17/std_file,harvey,1645484506,
0,18,VENUS_data/trial_00_run_18/monitor_file,VENUS_data/trial_00_run_18/std_file,wenhan,1645490866,
0,19,VENUS_data/trial_00_run_19/monitor_file,VENUS_data/trial_00_run_19/std_file,harvey,1645492519,
0,20,VENUS_data/trial_00_run_20/monitor_file,VENUS_data/trial_00_run_20/std_file,wenhan,1645492547,
0,21,VENUS_data/trial_00_run_21/monitor_file,VENUS_data/trial_00_run_21/std_file,harvey,1645498279,
0,22,VENUS_data/trial_00_run_22/monitor_file,VENUS_data/trial_00_run_22/std_file,wenhan,1645505328,
1,0,VENUS_data/trial_01_run_00/monitor_file,VENUS_data/trial_01_run_00/std_file,wenhan,1647626880,1647626880.0
1,1,VENUS_data/trial_01_run_01/monitor_file,VENUS_data/trial_01_run_01/std_file,harvey,1647637954,1647637953.0
1,2,VENUS_data/trial_01_run_02/monitor_file,VENUS_data/trial_01_run_02/std_file,wenhan,1647640557,1647640557.0
1,3,VENUS_data/trial_01_run_03/monitor_file,VENUS_data/trial_01_run_03/std_file,harvey,1647650275,1647650275.0
1,4,VENUS_data/trial_01_run_04/monitor_file,VENUS_data/trial_01_run_04/std_file,wenhan,1647666857,1647666857.0
1,5,VENUS_data/trial_01_run_05/monitor_file,VENUS_data/trial_01_run_05/std_file,harvey,1647674282,1647674282.0
1,6,VENUS_data/trial_01_run_06/monitor_file,VENUS_data/trial_01_run_06/std_file,wenhan,1647682454,1647682453.0
1,7,VENUS_data/trial_01_run_07/monitor_file,VENUS_data/trial_01_run_07/std_file,harvey,1647694560,1647694560.0
1,8,VENUS_data/trial_01_run_08/monitor_file,VENUS_data/trial_01_run_08/std_file,wenhan,1647705245,1647705245.0
1,9,VENUS_data/trial_01_run_09/monitor_file,VENUS_data/trial_01_run_09/std_file,harvey,1647714165,1647714165.0
1,10,VENUS_data/trial_01_run_10/monitor_file,VENUS_data/trial_01_run_10/std_file,wenhan,1647728131,1647728131.0
1,11,VENUS_data/trial_01_run_11/monitor_file,VENUS_data/trial_01_run_11/std_file,harvey,1647739389,1647739389.0
1,12,VENUS_data/trial_01_run_12/monitor_file,VENUS_data/trial_01_run_12/std_file,wenhan,1647751147,1647751147.0
1,13,VENUS_data/trial_01_run_13/monitor_file,VENUS_data/trial_01_run_13/std_file,harvey,1647759254,1647759254.0
1,14,VENUS_data/trial_01_run_14/monitor_file,VENUS_data/trial_01_run_14/std_file,wenhan,1647771806,1647771805.0
1,15,VENUS_data/trial_01_run_15/monitor_file,VENUS_data/trial_01_run_15/std_file,harvey,1647780261,1647780261.0
1,16,VENUS_data/trial_01_run_16/monitor_file,VENUS_data/trial_01_run_16/std_file,wenhan,1647794766,1647794766.0
1,17,VENUS_data/trial_01_run_17/monitor_file,VENUS_data/trial_01_run_17/std_file,harvey,1647804168,1647804168.0
1,18,VENUS_data/trial_01_run_18/monitor_file,VENUS_data/trial_01_run_18/std_file,wenhan,1647815774,1647815774.0
1,19,VENUS_data/trial_01_run_19/monitor_file,VENUS_data/trial_01_run_19/std_file,harvey,1647828353,1647828352.0
